pair,frequency
nk,0.0005160546485769444
nu,0.0007864445487428901
zr,1.8869341026441333e-6
vb,8.852171794695919e-7
mg,1.2248635659630283e-5
tw,0.0008237223232097947
mh,5.331806946593063e-6
tl,0.0009844918163128189
et,0.004126082418439024
cr,0.0014945583064235584
lc,0.00011821911415753592
wa,0.0038533707704842494
nh,0.00010883711235245899
rj,5.531870226818162e-6
sb,7.916276818864494e-5
br,0.0011155985184063137
hm,0.0001274324149425344
gl,0.0006063676260676287
xg,1.9241591204491164e-7
qd,1.8439119378617653e-7
an,0.019851510793865493
sp,0.0019125422113792543
mv,2.898408575359161e-6
qf,3.3616749539804555e-7
kr,2.7217223452914765e-5
bi,0.0010659711855756885
zn,1.5251901452022816e-6
tp,4.294463459127656e-5
ly,0.0042501351601765104
il,0.004315346175614546
te,0.012048696340679248
bf,1.4571586074509174e-6
pp,0.0013654559840341753
cy,0.0004171861457499762
rv,0.000692833068035106
ka,0.0001695576568906465
lr,0.00010051268485779453
ko,6.0760796868276776e-5
jk,6.171422220235781e-7
yf,7.5351693052820495e-6
ej,4.546450784000317e-5
mo,0.0033687762253118664
cg,8.85768060932945e-6
uz,1.9106469730923158e-5
vj,2.568995078923388e-7
vo,0.0007110718485686386
em,0.003736636382769038
fv,2.863097616176284e-7
tc,0.00026136282448192903
qr,6.186289245886825e-7
fz,9.357856365182507e-8
df,2.778612054529999e-5
us,0.004542570592090613
um,0.001383826156162727
hx,9.362715102096135e-8
wb,1.0614429644179357e-5
sy,0.000568447139655051
iy,2.2157216377184053e-6
mc,4.312266403157685e-5
hn,0.0002575797725545694
yj,1.9907841070618347e-7
cq,5.4745391172903915e-5
kw,2.1781518269187193e-5
ni,0.0033921247759627383
vm,1.1271641904994861e-6
sz,2.497125493662587e-6
xz,4.841749067047226e-8
ho,0.004849020685694829
fp,2.2211503009254794e-6
ix,0.0002203199193791771
pe,0.004779891850444238
eo,0.0007250045774136436
tq,8.928017741874646e-7
ii,0.00022782299229399052
qp,9.652927103294833e-8
bx,2.761401060703075e-7
ay,0.0021736083500363624
cn,8.600191669265546e-6
my,0.0006218641333591955
oy,0.00036181283908123666
zm,1.6716920573703928e-6
rn,0.0016036105108033557
ji,2.7627374616109534e-5
lu,0.001351893577122505
jd,9.2746797543538e-7
sx,1.7866391331769582e-7
or,0.012765390616045856
pk,8.192278007617351e-6
jb,7.54031637453953e-7
ub,0.0008858033353629379
gg,0.00024754730610389725
xm,2.329789885052564e-6
bo,0.001954105307751377
bs,0.00045832404128730357
ja,0.00025861490978535843
jp,2.1738226568634436e-6
uw,2.7749785704841955e-6
if,0.002032565155377681
hd,2.8565229294317865e-5
ta,0.005298860706648515
be,0.005762837161652202
kd,6.701069939319453e-6
lo,0.0038688419999310334
bl,0.002334001713419505
ir,0.0031517239753216133
bu,0.001849441938716155
le,0.008292542349309354
kh,3.18518637165598e-5
cf,1.4081226385830964e-5
ha,0.009257635591819875
yz,1.8122008062186258e-5
qb,3.842455837892227e-7
au,0.0011903277430684266
ze,0.0004973256335470059
bz,3.572675357393831e-7
so,0.003977321583723639
xb,7.677244092421487e-7
sk,0.0003946469241277682
yg,2.5925958437702277e-5
zo,7.181018489679211e-5
ud,0.0009140148635053416
at,0.014867323009999081
uh,1.067402577627447e-5
hz,3.8054131113845875e-6
vq,7.548987623994875e-8
cj,1.0504972231780532e-6
ts,0.0033748821262235386
uk,4.6040929945514914e-5
jj,1.0568462091800807e-6
rm,0.001751329245044116
zs,2.977626911538743e-6
kx,1.9698170613440454e-7
it,0.011232737362990464
gx,1.9755198708017932e-7
jc,1.2226890861353984e-6
ql,2.3793337515214076e-6
gh,0.0022750336049891886
gj,3.8764492636711533e-7
pl,0.002629870834216346
lp,0.00019030486604223394
yu,1.3276847949034266e-5
bj,0.00023224515573657463
di,0.0049296640450796365
nv,0.0005200714830640574
de,0.007648183905725693
wi,0.003744207031848012
gv,4.228753794712046e-7
xe,0.00021794560324881292
eg,0.0011953613384758778
fy,9.098073817573506e-5
yy,7.06828121707229e-7
oh,0.00021354371492525182
hj,4.547955077320962e-7
hp,5.921321042846898e-6
pw,1.2071464477967291e-5
ba,0.0014620446497566957
bm,3.1290520718792114e-5
yi,0.00028819725500699606
hb,4.389827449001692e-5
kf,1.5874099243002875e-5
ww,2.6164897642326007e-6
zc,7.450525497766359e-7
oq,1.0365656994416639e-5
gb,4.945574245801865e-6
ri,0.007276188663828457
aa,2.8299407088468595e-5
lv,0.0003490591288531265
ya,0.00015765816439119228
fr,0.0021318861484722396
rt,0.0036167641252256148
se,0.009321145792569853
oa,0.00057486066316008
ny,0.0009791744504544292
sn,9.174955952463224e-5
qo,4.696884230031911e-7
vk,1.1971112054822743e-7
fg,5.115691037979528e-6
wg,9.759262511237404e-7
ua,0.001363332529810447
co,0.00793859724517974
zb,2.077628177629507e-6
gz,1.2168809449358004e-6
ry,0.0024774012156725655
hi,0.0076324181389379
kk,4.533401564329163e-6
dg,0.0003100328772623043
yp,0.0002491432422957806
dp,1.7326765824048826e-5
dj,4.781874391012554e-5
al,0.010874495288754523
uy,4.567302106663002e-5
oj,6.97589276024244e-5
kg,2.5629904957985015e-5
uj,5.159490600668077e-6
tv,1.1634636011898067e-5
xd,5.967486491225286e-8
ur,0.005427477814999868
zz,2.6603391555734385e-5
ez,4.523242832073589e-5
by,0.001764684295250406
ht,0.0013018587622421166
ig,0.002549613798323326
wc,6.741321560104064e-6
nf,0.0006718072826705972
ei,0.0018335165422055663
dz,7.80484800056189e-7
rc,0.0012138664054551589
kq,6.640581147311086e-8
gn,0.0006563910133406573
fo,0.004877535684515768
