common_name,scientific_name,set,power_color,power_category,power_text,predator,flocking,bonus_card,victory_points,nest_type,egg_capacity,wingspan,forest,grassland,wetland,invertebrate,seed,fish,fruit,rodent,nectar,any_food,food_cost_div,food_cost_mul,total_food_cost,anatomist,cartographer,historian,photographer,backyard_birder,bird_bander,bird_counter,bird_feeder,diet_specialist,enclosure_builder,falconer,fishery_manager,food_web_expert,forester,large_bird_specialist,nest_box_builder,omnivore_expert,passerine_specialist,platform_builder,prairie_manager,rodentologist,viticulturalist,wetland_scientist,wildlife_gardener
Abbott's Booby,Papasula abbotti,oceania,White,NA,"Draw 3 bonus cards, then discard 2. You may discard bonus cards you did not draw this turn.",FALSE,FALSE,TRUE,5,Platform,1,190,FALSE,FALSE,TRUE,0,0,2,0,0,0,0,FALSE,FALSE,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Acorn Woodpecker,Melanerpes formicivorus,core,Brown,Caching Food,Gain 1 [seed] from the birdfeeder (if available). You may cache it on this card.,FALSE,FALSE,FALSE,5,Cavity,4,46,TRUE,FALSE,FALSE,0,3,0,0,0,0,0,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
American Avocet,Recurvirostra americana,core,Pink,Egg-laying,"When another player takes the ""lay eggs"" action, this bird lays 1 [egg] on another bird with a [ground] nest.",FALSE,FALSE,FALSE,6,Ground,2,79,FALSE,FALSE,TRUE,2,1,0,0,0,0,0,FALSE,FALSE,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
American Bittern,Botaurus lentiginosus,core,Brown,Card-drawing,Player(s) with the fewest [wetland] birds: draw 1 [card].,FALSE,FALSE,FALSE,7,Platform,2,107,FALSE,FALSE,TRUE,1,0,1,0,1,0,0,FALSE,FALSE,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
American Coot,Fulica americana,core,Brown,Flocking,"Tuck a [card] from your hand behind this bird. If you do, draw 1 [card].",FALSE,TRUE,FALSE,3,Platform,5,61,FALSE,FALSE,TRUE,0,1,0,0,0,0,1,FALSE,FALSE,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
American Crow,Corvus brachyrhynchos,core,Brown,Food from Supply,Discard 1 [egg] from any of your other birds to gain 1 [wild] from the supply.,FALSE,FALSE,FALSE,4,Platform,2,99,TRUE,TRUE,TRUE,0,0,0,0,0,0,1,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
American Goldfinch,Spinus tristis,core,White,Food from Supply,Gain 3 [seed] from the supply.,FALSE,FALSE,FALSE,3,Bowl,3,23,FALSE,TRUE,FALSE,0,2,0,0,0,0,0,FALSE,FALSE,2,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
American Kestrel,Falco sparverius,core,Brown,Hunting/Fishing,"Roll all dice not in birdfeeder. If any are [rodent], gain 1 [rodent] and cache it on this card.",TRUE,FALSE,FALSE,5,Cavity,3,56,FALSE,TRUE,FALSE,1,0,0,0,1,0,0,FALSE,FALSE,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
American Oystercatcher,Haematopus palliatus,core,White,Card-drawing,"Draw [card] equal to the number of players +1. Starting with you and proceeding clockwise, each player selects 1 of those cards and places it in their hand. You keep the extra card.",FALSE,FALSE,FALSE,5,Ground,2,81,FALSE,FALSE,TRUE,2,0,0,0,0,0,0,FALSE,FALSE,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
American Redstart,Setophaga ruticilla,swiftstart,Brown,NA,Gain 1 [wild] from the birdfeeder.,FALSE,FALSE,FALSE,4,Bowl,2,20,TRUE,FALSE,FALSE,1,0,0,1,0,0,0,FALSE,FALSE,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
